history:PRFTA_275_M01/PM_01_powerReal
01-Jan-21 12:00 AM PST  to  31-Dec-21 11:59 PM PST

Timestamp,Trend Flags,Status,Value (kW)
"01-Jan-21 12:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 12:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 12:30:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 12:45:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 1:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 1:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 1:30:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 1:45:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 2:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 2:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 2:30:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 2:45:00 AM PST","{ }","{ok}","3.6 kW"
"01-Jan-21 3:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 3:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 3:30:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 3:45:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 4:00:00 AM PST","{ }","{ok}","3.6 kW"
"01-Jan-21 4:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 4:30:00 AM PST","{ }","{ok}","3.6 kW"
"01-Jan-21 4:45:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 5:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 5:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 5:30:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 5:45:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 6:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 6:15:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 6:30:00 AM PST","{ }","{ok}","3.6 kW"
"01-Jan-21 6:45:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 7:00:00 AM PST","{ }","{ok}","3.5 kW"
"01-Jan-21 7:15:00 AM PST","{ }","{ok}","31.0 kW"
"01-Jan-21 7:30:00 AM PST","{ }","{ok}","31.0 kW"
"01-Jan-21 7:45:00 AM PST","{ }","{ok}","30.3 kW"
"01-Jan-21 8:00:00 AM PST","{ }","{ok}","29.4 kW"
"01-Jan-21 8:15:00 AM PST","{ }","{ok}","29.7 kW"
"01-Jan-21 8:30:00 AM PST","{ }","{ok}","29.8 kW"
"01-Jan-21 8:45:00 AM PST","{ }","{ok}","30.3 kW"
"01-Jan-21 9:00:00 AM PST","{ }","{ok}","5.3 kW"
"01-Jan-21 9:15:00 AM PST","{ }","{ok}","29.6 kW"
"01-Jan-21 9:30:00 AM PST","{ }","{ok}","5.2 kW"
"01-Jan-21 9:45:00 AM PST","{ }","{ok}","30.2 kW"
"01-Jan-21 10:00:00 AM PST","{ }","{ok}","5.1 kW"
"01-Jan-21 10:15:00 AM PST","{ }","{ok}","29.7 kW"
"01-Jan-21 10:30:00 AM PST","{ }","{ok}","30.1 kW"
"01-Jan-21 10:45:00 AM PST","{ }","{ok}","30.2 kW"
"01-Jan-21 11:00:00 AM PST","{ }","{ok}","30.0 kW"
"01-Jan-21 11:15:00 AM PST","{ }","{ok}","29.9 kW"
"01-Jan-21 11:30:00 AM PST","{ }","{ok}","29.2 kW"
"01-Jan-21 11:45:00 AM PST","{ }","{ok}","5.8 kW"
"01-Jan-21 12:00:00 PM PST","{ }","{ok}","2.8 kW"
"01-Jan-21 12:15:00 PM PST","{ }","{ok}","5.2 kW"
"01-Jan-21 12:30:00 PM PST","{ }","{ok}","5.2 kW"
"01-Jan-21 12:45:00 PM PST","{ }","{ok}","5.2 kW"
"01-Jan-21 1:00:00 PM PST","{ }","{ok}","6.2 kW"
"01-Jan-21 1:15:00 PM PST","{ }","{ok}","6.3 kW"
"01-Jan-21 1:30:00 PM PST","{ }","{ok}","29.9 kW"
"01-Jan-21 1:45:00 PM PST","{ }","{ok}","5.1 kW"
