,power,day,time,month,hour,weekday,year,holiday,pv,bldg
2021-01-01 00:00:00,3.5,01/01/21,00:00,1.0,0.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 00:15:00,3.5,01/01/21,00:15,1.0,0.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 00:30:00,3.5,01/01/21,00:30,1.0,0.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 00:45:00,3.5,01/01/21,00:45,1.0,0.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 01:00:00,3.5,01/01/21,01:00,1.0,1.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 01:15:00,3.5,01/01/21,01:15,1.0,1.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 01:30:00,3.5,01/01/21,01:30,1.0,1.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 01:45:00,3.5,01/01/21,01:45,1.0,1.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 02:00:00,3.5,01/01/21,02:00,1.0,2.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 02:15:00,3.5,01/01/21,02:15,1.0,2.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 02:30:00,3.5,01/01/21,02:30,1.0,2.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 02:45:00,3.6,01/01/21,02:45,1.0,2.0,4.0,2021.0,1.0,0.0,3.6
2021-01-01 03:00:00,3.5,01/01/21,03:00,1.0,3.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 03:15:00,3.5,01/01/21,03:15,1.0,3.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 03:30:00,3.5,01/01/21,03:30,1.0,3.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 03:45:00,3.5,01/01/21,03:45,1.0,3.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 04:00:00,3.6,01/01/21,04:00,1.0,4.0,4.0,2021.0,1.0,0.0,3.6
2021-01-01 04:15:00,3.5,01/01/21,04:15,1.0,4.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 04:30:00,3.6,01/01/21,04:30,1.0,4.0,4.0,2021.0,1.0,0.0,3.6
2021-01-01 04:45:00,3.5,01/01/21,04:45,1.0,4.0,4.0,2021.0,1.0,0.0,3.5
2021-01-01 05:00:00,3.5,01/01/21,05:00,1.0,5.0,4.0,2021.0,1.0,0.0,3.5
