"PVWatts Hourly PV Performance Data"
"Requested Location","94568, USA"
"Location","Lat, Lng: 37.69, -121.9"
"Latitude (DD)","37.69"
"Longitude (DD)","-121.90"
"Elevation (m)","100.84999847412"
"DC System Size (kW)","34.5"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6","1.8","0.12","0","6","0","0"
"1","1","1","0","0","5","1.6","0.12","0","5","0","0"
"1","1","2","0","0","5","1.6","0.12","0","5","0","0"
"1","1","3","0","0","5","1.7","0.12","0","5","0","0"
"1","1","4","0","0","5","1.6","0.12","0","5","0","0"
"1","1","5","0","0","4","1.6","0.12","0","4","0","0"
"1","1","6","0","0","4","1.6","0.12","0","4","0","0"
"1","1","7","0","0","6","1.9","0.12","0","0","0","0"
"1","1","8","488","55","7","2.6","0.12","260.76","12.614","7691.836","7282.541"
"1","1","9","687","78","8","3.4","0.12","481.879","17.208","14983.085","14315.432"
"1","1","10","796","87","9","3.9","0.12","649.537","20.495","19925.514","19082.731"
"1","1","11","842","92","10","4.1","0.12","746.228","22.819","22607.557","21669.739"
"1","1","12","858","90","10","4.1","0.12","765.609","23.15","23151.47","22194.379"
"1","1","13","824","88","10","4","0.12","696.97","22.152","21216.476","20327.949"
"1","1","14","761","77","9","3.7","0.12","558.739","19.194","17265.395","16516.87"
"1","1","15","624","60","8","2.7","0.12","361.833","15.729","11027.37","10499.884"
"1","1","16","282","28","6","1.7","0.12","113.71","8.582","2323.516","2104.441"
"1","1","17","0","0","5","1.4","0.12","0","5","0","0"
"1","1","18","0","0","4","1.3","0.12","0","4","0","0"
"1","1","19","0","0","4","1.3","0.12","0","4","0","0"
"1","1","20","0","0","4","1.2","0.12","0","4","0","0"
"1","1","21","0","0","3","1.2","0.12","0","3","0","0"
"1","1","22","0","0","3","1.2","0.12","0","3","0","0"
"1","1","23","0","0","3","1.1","0.12","0","3","0","0"
"1","2","0","0","0","4","1","0.12","0","4","0","0"
"1","2","1","0","0","4","1","0.12","0","4","0","0"
"1","2","2","0","0","4","1","0.12","0","4","0","0"
"1","2","3","0","0","4","1","0.12","0","4","0","0"
"1","2","4","0","0","4","1","0.12","0","4","0","0"
"1","2","5","0","0","4","0.9","0.12","0","4","0","0"
"1","2","6","0","0","4","0.9","0.12","0","4","0","0"
"1","2","7","0","0","5","0.8","0.12","0","0","0","0"
